"e_id","charge/hour"
51,"$300.00"
52,"$300.00"
53,"$300.00"
54,"$300.00"
55,"$300.00"
56,"$300.00"
57,"$300.00"
58,"$300.00"
59,"$300.00"
60,"$300.00"
61,"$300.00"
62,"$300.00"
63,"$300.00"
64,"$300.00"
65,"$300.00"
66,"$300.00"
67,"$300.00"
68,"$300.00"
69,"$300.00"
70,"$300.00"
71,"$300.00"
72,"$300.00"
73,"$300.00"
74,"$300.00"
75,"$300.00"
76,"$300.00"
77,"$300.00"
78,"$300.00"
79,"$300.00"
80,"$300.00"
81,"$300.00"
82,"$300.00"
83,"$300.00"
84,"$300.00"
85,"$300.00"
86,"$100.00"
87,"$100.00"
88,"$100.00"
89,"$100.00"
90,"$100.00"
91,"$100.00"
92,"$100.00"
93,"$100.00"
94,"$100.00"
95,"$100.00"
96,"$100.00"
97,"$100.00"
98,"$100.00"
99,"$100.00"
100,"$100.00"
101,"$100.00"
102,"$100.00"
103,"$100.00"
104,"$100.00"
105,"$100.00"
106,"$100.00"
107,"$100.00"
108,"$100.00"
109,"$100.00"
110,"$100.00"
111,"$100.00"
112,"$100.00"
113,"$100.00"
114,"$100.00"
115,"$100.00"
116,"$100.00"
117,"$100.00"
118,"$100.00"
119,"$100.00"
120,"$100.00"
121,"$100.00"
122,"$100.00"
123,"$100.00"
124,"$100.00"
125,"$100.00"
126,"$100.00"
127,"$100.00"
128,"$100.00"
129,"$100.00"
130,"$100.00"
131,"$100.00"
132,"$100.00"
133,"$100.00"
134,"$100.00"
135,"$100.00"
136,"$100.00"
137,"$100.00"
138,"$100.00"
139,"$100.00"
140,"$100.00"
141,"$100.00"
142,"$100.00"
143,"$100.00"
144,"$100.00"
145,"$100.00"
146,"$100.00"
147,"$100.00"
148,"$100.00"
149,"$100.00"
150,"$100.00"
151,"$100.00"
152,"$100.00"
153,"$100.00"
154,"$100.00"
155,"$100.00"
156,"$100.00"
157,"$100.00"
158,"$100.00"
159,"$100.00"
160,"$100.00"
